C1,C2,C3,T1,T2,T3
24.7982426179,22.1500124565,26.028345377,25.0453051054,21.9766037281,26.0555867415
22.5286557124,20.6901759857,20.9123985584,21.4885274691,20.6674075493,20.6175607779
23.9975002484,23.4781873165,23.6977441005,23.9307727569,24.1852642451,23.5382532462
23.9994691702,25.1033779536,25.1557597625,25.0249070632,25.9560667674,25.8134379265
25.8981468005,25.7069659111,25.6425469472,25.6188991009,25.3538063,25.7352207624
24.0818865849,21.9206202825,21.9122044734,24.0046025545,21.6253756743,22.3188420809
25.585199894,25.2266051464,22.3475650641,25.6396478262,24.8070886563,21.7691530081
23.2092164113,23.3499885706,23.0274906648,21.617587383,22.6819422551,21.9833796819
24.9606445753,23.9392133615,24.1403699533,24.9850142063,23.716440103,23.7265385114
19.9811273232,20.1695123819,20.6466303361,20.7089668421,19.4464475436,21.0937604171
22.0033673017,21.9769213016,21.6034661073,22.7733441622,22.0661427914,22.0406490962
27.105852714,26.9074829542,26.8311269956,27.5618531154,27.2898661051,27.235417366
26.4979078342,29.3716927308,28.9837818879,26.9659951283,29.6888533128,29.368996718
25.0089552219,24.5764130323,24.5139978604,24.5293949323,24.2223280638,24.2730881618
23.2461932745,22.1108785287,22.1023270778,23.3512982589,20.9878947429,21.6027599237
22.5773737736,22.5318104671,23.0525687047,23.2390144055,22.0155111704,23.882746183
21.6569803678,23.0293281751,22.9202299852,22.0801319954,23.8558173057,22.5620741966
21.4696795879,21.8596731577,24.5293949323,22.7707356428,22.187925461,24.482118362
25.2745446181,22.635992637,24.4391300739,25.2814628405,23.7465293346,24.338612263
24.3214324315,23.4332818496,23.6089768777,24.4312394949,24.0378459784,23.7927056582
25.5519933456,25.3199191216,21.4384550192,25.2378181311,24.9606445753,22.1944774481
22.6444510191,21.4626455307,23.976881125,22.0681473659,22.0834835982,24.7041745797
24.7387860861,22.9610749269,23.576781762,23.8385866361,22.8048762297,23.0856587581
22.9400557738,22.1977642744,21.9985651603,22.6613671229,22.0601844543,22.0532798033
23.6796478858,23.6106617267,23.6068785496,23.3239188072,22.9134682386,22.5191875115
24.7853946197,25.5284031599,25.0089552219,25.1298505832,25.8411309413,25.062451656
26.0539710705,26.1009028264,25.9891973642,26.1546756793,25.9489395924,26.0638247514
22.6548729432,21.9955574671,26.2732772094,23.0334444291,22.5927651968,26.4373443066
21.1055199305,22.474151269,22.0206698149,21.9812610333,21.99976701,22.2511130357
25.445548082,23.3030958665,25.4486886049,26.7138749392,27.6411067522,25.0605049622
25.944416633,26.2478870734,26.3829898101,25.9374777965,26.0608536158,25.9533106731
22.1919932488,23.9926141103,23.5774285977,21.9886880288,23.9196694937,23.5540465575
22.0021320245,22.0758498999,23.3133513133,22.5331972073,21.9547696236,23.1099867454
22.494868034,25.5697941658,21.3990863653,22.3129086372,25.3157137846,21.7265309554
24.9479295535,23.9710033368,21.8716716522,24.4663534409,24.3756715823,21.7477400609
21.9696986125,23.8468701289,23.7068870006,21.3954445521,23.1498685494,23.6233193324
23.4612360001,23.9151124221,23.3639848416,23.5847684176,23.8161731622,23.6871312215
23.8755044937,24.7683491829,23.1455656687,24.307802616,26.3961523741,23.4269415293
28.1219052535,27.0033374933,22.0913816843,27.8948103587,26.9968880629,21.7414027483
24.212873141,22.3387669539,21.9502554429,24.093427707,22.1406148764,21.7613912974
24.4252021252,22.3078351388,25.9560667674,24.1649753619,22.0394413043,25.5437672688
26.0112872001,26.296864803,25.891202731,25.6349467009,26.2756350835,25.8370291392
25.4726351958,26.5706298046,26.2098382314,25.5330020953,26.2788968698,25.9159371547
27.1714318593,27.4264309467,27.2459317721,27.5754676477,27.6134448418,27.4436595868
22.8628234374,25.1965014384,21.647549727,21.9122044734,25.5690436241,21.8922229669
23.0108379706,23.4989808645,23.9911988087,21.7178195073,23.3093168552,23.8360671263
26.0409499682,26.4271208934,26.3904520426,26.3367909407,26.1278528556,26.296864803
23.7528430988,23.3239188072,21.787043816,23.6652421707,23.592322105,22.0440701949
21.9642738929,21.3201474899,22.8225339987,22.3915462983,21.7342912234,22.8194473951
25.1141761389,22.0370904482,21.9167668514,24.965623391,22.0878251149,21.2836923599
23.5819549316,23.8783880136,23.6846872232,23.6478720445,24.0812251751,23.7022799223
21.7900445156,22.7149713467,21.9555614667,22.660070835,22.7050142777,22.317492265
22.0251549696,22.4621045039,22.0770353171,21.4301333794,22.0442454754,22.1834358558
22.7601316159,23.882746183,27.4619797193,23.0905406903,23.9255362291,27.6236801637
22.3005374028,21.510692034,22.8628234374,22.1203592496,22.8819828278,23.4251753
22.6847143662,21.7418877528,23.6564342548,22.8348003779,22.0366908098,23.5186670988
26.4344207324,25.851699609,21.8329387812,26.2773846602,25.4552566577,21.9906252592
22.8779862722,23.7714776748,23.6589236382,22.0266640737,23.7272924766,23.7434563759
24.2295911006,23.7616227468,23.7048753592,23.7927056582,23.554742862,23.3544787138
25.2419385666,22.6036050014,24.9682355783,24.9413350423,21.6421032196,25.0799668385
30.1447471716,25.2885203484,26.2017248349,30.0241889954,24.9621467346,26.1478180763
23.8379294322,22.5662379387,23.236706049,23.6809570117,22.0255945646,23.0807190186
25.7060565459,25.1785755891,24.9774371416,25.4979735888,24.9762827066,24.7496565061
24.3468605677,24.2806711197,24.5479262181,24.7539024598,24.8609260901,25.1246323219
23.7901755113,22.9927282578,22.7826915643,24.3622691081,23.2936138984,23.5454575465
29.2561669716,29.7724570739,29.384633749,29.2537933741,29.5287881264,29.3292096211
25.5194557386,25.5633692864,23.81739455,25.0772333145,25.0533727499,23.4049128752
23.0813635313,22.1562086252,22.5433088205,21.9589717082,21.6139427821,22.5054376798
22.3288242144,24.184140132,24.5636387849,22.0119756307,24.168575727,24.0415545243
23.8646693596,22.0191553556,23.388017899,23.8417547422,21.9435484226,23.4162534567
26.0686224668,26.0011658791,26.257943349,25.8141836753,25.7077236176,26.0136700655
23.4448371056,21.7134745427,22.6913779088,23.5089632426,21.8691863769,23.237246978
21.9148904116,21.8914053746,22.9692604114,21.9542813179,21.9127858724,23.5454575465
23.3268855168,22.1421060073,22.6409765146,23.3874159837,22.0268756671,23.0370490979
26.6187005899,26.3461078742,25.8425471477,27.0152941973,26.3482454496,26.1759587801
22.9434154217,21.7812977082,22.6108872096,22.9342995913,22.1079363945,22.6870493767
21.8123197556,22.441956031,22.3862608152,22.3191537857,23.1926177832,22.42776076
30.5410343806,29.5432152137,27.9409753848,30.2598327001,29.4443426377,27.8243214289
23.9761780714,23.8611171429,23.8722923719,23.7471567056,23.7152119906,23.556085073
24.9956332965,26.9556167798,26.8643519084,25.0166735527,26.8845119965,26.8254302343
22.2548852334,22.4194669234,21.8845573572,22.9307201092,21.9870875432,21.7030810087
26.9947752341,27.1981286513,27.4251803374,26.7185828869,26.9525464376,26.8633952752
22.3332159336,24.6173908527,24.8798508522,22.2436158596,24.564359885,24.5293949323
24.5179086832,23.5825531544,23.2700451582,24.2921401782,23.6680418406,23.5466078
22.070477828,23.9372856678,24.5369674976,23.620657554,23.4781873165,24.1918032475
26.5835385689,27.3599739075,27.2376086895,26.4083708494,27.0618220109,27.2365790636
21.7786394266,21.9876949115,22.2740125167,22.3288242144,22.5893610441,22.0742234206
25.7941384682,26.3701562148,26.4772806901,26.1069143491,26.6268847539,26.7341183393
23.5114055291,23.4693620388,22.0112959299,23.9351665301,24.1192848499,22.2548852334
22.7794716175,21.601107524,21.5573335794,22.0420813194,22.0004092975,21.8657850608
23.7871664976,25.5581404613,22.1933517701,23.414196479,25.5284031599,21.483195476
22.6368746635,24.2579333721,22.4325362474,22.1063427558,23.9563435286,21.9211798203
22.5915893163,22.8048762297,25.0020273404,22.0674242362,22.7162074065,24.6785297394
22.0517010567,21.9326877839,22.2410472234,21.7093871435,21.9318524141,21.9007811913
26.5759799664,24.9380531067,27.4264309467,28.3921129765,24.6169190285,27.3034106768
28.192561712,26.859239725,24.8051448235,28.3326502824,26.8422805101,25.1316514137
22.1261600837,23.0280148677,22.6437690197,23.2469166976,22.9510994202,22.5506856869
27.9710674041,27.4094640047,26.9096545684,28.0128638928,27.0380635873,26.5488520158
24.74404895,24.6318722016,23.7914265608,24.8547375508,24.3286871788,23.7567858329
21.2960466972,21.8229155907,22.0827405147,22.5853168781,22.3438465412,22.0471854577
25.0070024637,21.5894941917,24.8978235538,24.6070485726,21.6604121526,24.7140496572
23.3438109129,24.2705159065,23.9275289682,22.4008382651,24.1579707464,23.4244675759
28.6690093309,28.8475102156,27.7746567115,29.2206022311,29.0455313218,28.1703267709
21.9056505057,21.9182051145,21.6224831557,21.7650977159,22.0031001996,22.3915462983
25.4295429328,24.9702426226,25.3120323817,24.8739123222,25.0897516348,24.9455160972
25.9686415746,26.4577878805,25.8973687001,25.8660743175,26.2113690743,25.8750613286
23.7106667054,22.9713544601,22.2205433234,23.5063300744,22.660070835,21.4655630161
22.6433254144,21.9908772004,21.8084214284,22.2644278697,21.4012661469,22.2374065839
21.5156061466,22.1037293703,22.757578752,22.6977772101,22.8122000083,22.5970240862
22.0862239691,22.5781023563,22.0822162873,22.9819408563,22.1115691112,21.7925488154
23.5505432716,23.3579579378,22.9006377245,23.632326175,23.7949443964,23.1440997491
24.5783503117,24.3574191851,24.6935105691,24.7800940245,24.4686233325,24.8083941875
26.6571739881,28.6850108122,26.4716273088,26.8213810554,27.5844187125,26.3552170289
23.232093591,22.7494564545,22.4366843884,23.5147543687,22.8447591831,22.7962500499
28.8359309465,28.6726631018,29.1714120278,28.9538816061,28.0668433996,29.0512265425
26.8656190481,28.1942269741,29.1454094129,26.9054820965,27.9166890902,29.1714120278
25.9754548684,24.2323354085,24.9249904828,26.0180194317,25.4073509803,24.6128684557
25.7203841576,27.6667398795,27.4199809539,25.3464223666,27.4835715661,27.4541304417
23.1409866137,23.6260317778,22.9383512399,21.9831259067,21.657792018,22.3170550664
22.5206939746,21.6484675041,26.0136700655,21.9624005342,21.8477303676,26.112403136
22.2322623669,22.4073390961,22.1757853581,22.7530374527,22.2415793492,21.8720410909
22.4194669234,23.6142158753,22.0597717334,21.9925722954,24.0704286771,21.9995482029
23.2529823352,22.2854705224,22.0729398727,23.7895910556,22.0085943418,22.2390421843
23.1848252859,24.4934128737,22.8974988399,22.4266345684,24.5916819206,22.9780590106
22.6223614277,23.8947514999,22.074945621,20.5591917527,23.2378434646,22.0112959299
22.3124810977,22.7155009539,22.6698073607,22.5412673706,21.8459532811,22.8340205657
21.3221968137,25.2610813288,26.7156103574,21.408849276,26.9341419416,28.0534362059
25.9609164703,25.6946233603,24.1764145387,25.8996273432,25.2057566765,24.1198549026
22.013227316,25.4959360025,24.0812251751,21.9845917041,25.1908246554,24.4906317393
25.7556231328,22.8429284707,21.9286833788,25.6966451498,22.9221454278,22.0681473659
23.1418229861,21.7772673338,22.0589728722,22.0888428077,21.9736792002,22.8360002713
24.0290737397,24.9633866824,24.974218393,24.3534695063,24.8143793986,25.0517149216
24.3998955458,23.9652529496,24.0960137783,24.7428586911,24.2323354085,24.3924360764
26.316307239,26.0840043043,25.8742646437,26.0702112883,25.7715528684,26.1146926635
27.1714318593,27.4264309467,27.2459317721,27.5754676477,27.6134448418,27.4436595868
26.0409499682,26.4271208934,26.3904520426,26.3367909407,26.1278528556,26.296864803
21.8736445598,23.1331743338,23.237246978,23.1199024396,22.9281681745,22.9451072399
24.680894925,20.9221334702,26.5616520124,24.7367120645,21.3936775892,26.612011127
26.8131800431,27.0240437434,27.3011487814,26.4182460736,26.8040413979,26.9828195816
30.1447471716,25.2885203484,26.2017248349,30.0241889954,24.9621467346,26.1478180763
26.4816661737,26.2263563107,25.5581404613,25.9966105926,26.2595859674,26.2334531393
25.6410077902,23.414196479,25.2489752892,25.7330685395,23.2289225994,25.2993457745
25.257770954,21.922933065,24.1996864661,24.5990675413,22.6069933329,25.235028218
24.9956332965,26.9556167798,26.8643519084,25.0166735527,26.8845119965,26.8254302343
22.0972512563,21.9273015047,21.9402558498,21.9578948632,21.7804214526,22.2027655626
21.4934189136,24.2579333721,22.4325362474,22.867900555,23.9563435286,21.9211798203
26.5759799664,24.9380531067,27.4264309467,28.3921129765,24.6169190285,27.3034106768
27.9710674041,27.4094640047,26.9096545684,28.0128638928,27.0380635873,26.5488520158
22.6763906479,28.0715914751,22.6562273319,22.0532798033,28.1687536973,22.5545505377
22.144320757,23.9576845169,24.3426202872,22.851673762,23.6630150233,24.254270358
25.4295429328,24.9702426226,25.3120323817,24.8739123222,25.0897516348,24.9455160972
25.9686415746,26.4577878805,25.8973687001,25.8660743175,26.2113690743,25.8750613286
24.9913824277,25.4135889151,24.6521989382,24.8306483244,25.0645392247,23.4441117507
22.5377930128,21.8791850897,21.5723310862,22.8916643094,21.7662246411,21.6224831557
26.5522951468,28.2416969446,28.7858246779,26.6102855389,28.2500968102,28.8359309465
25.9754548684,24.2323354085,24.9249904828,26.0180194317,25.4073509803,24.6128684557
26.630275115,25.4215283761,26.0122253467,26.3274985093,25.211604803,25.5654816261
23.2785075261,21.6692349116,21.9362736237,23.3403262114,22.2633617841,22.2770385987
26.5759799664,24.9380531067,27.4264309467,28.3921129765,24.6169190285,27.3034106768
25.2663915585,24.5909983317,25.2398942556,25.0693830343,24.2521903943,24.9007675953
22.3510080973,24.9736241561,24.4959467374,22.0974254364,25.0314703232,24.2572505657
28.1844984201,27.5563775332,27.7426574903,27.9273545436,27.9720464609,27.7521007489
26.767550444,25.8026442406,26.1115927574,27.0111033122,26.8206042999,26.767550444
22.498091013,23.3246749976,23.7786901181,22.664943744,23.2283373857,23.0376620904
22.5080312338,20.4934317026,20.8762600239,22.0637131226,20.421881798,20.7732495283
24.3071479308,23.9333465527,23.4830873685,25.2134484511,24.5830232914,24.4005466852
26.7502559271,26.896888953,26.7113644037,26.2488417992,26.9239478967,26.3695242955
22.9497156388,21.6443662399,22.340746904,21.8459532811,21.9232094838,21.7035916157
23.1350989464,22.9497156388,22.437351398,22.2693865116,22.7995394438,22.7826915643
27.3325714209,27.0010478435,26.8516395031,27.3615081005,26.9169103182,26.8573029102
24.8212863726,25.455987539,22.2609619972,24.6705212226,25.2509661943,21.9366101974
24.5978872348,24.7652195172,24.6178662227,24.4601962994,24.9305419922,24.6622592241
21.380020704,21.5402874335,22.0227023394,21.9631441067,21.9805041827,22.0420813194
26.7502559271,26.896888953,26.7113644037,26.2488417992,26.9239478967,26.3695242955
27.3325714209,27.0010478435,26.8516395031,27.3615081005,26.9169103182,26.8573029102
24.3649495932,23.9514093888,23.4701168843,22.0563980494,24.4614353424,23.4209313515
27.4890748293,27.3575839752,26.5589547769,28.0587401023,28.4873841848,27.1942332097
24.1074000872,24.1067892221,24.6283807755,24.1298349332,24.6476644125,24.622366514
26.3523487189,25.9656302134,26.044906225,25.5801886534,25.9172919102,25.9049732746
25.8593671505,24.210539451,25.5443587181,26.1577142324,24.2951620298,25.8722029221
23.7974635149,23.3725682283,21.8079341742,23.9798805286,23.4049128752,21.9781011924
22.25416741,22.5399164787,21.7533708475,22.7104618121,22.065184153,22.1158060905
21.7075331761,22.2104775844,22.3593937311,21.9366101974,21.4971994987,22.3228216171
22.0283583617,23.7125485983,23.4838123322,21.8404203317,23.0657421748,22.8803154627
26.5750996761,25.5808503811,25.4606293654,26.9414052474,25.7916123317,25.7485269155
21.4655630161,22.704417082,22.099549587,22.5100560066,22.6834825124,22.0312343744
23.3960986504,21.6916862879,21.4051443736,23.7310957053,22.5909763972,21.5255678617
24.6229311625,25.8532654444,27.1671566596,24.6413449507,25.8501841472,27.1159047347
24.4650327731,22.0522911121,22.2879819625,24.9312051871,22.9720191222,22.0414859087
25.534414487,25.3142029689,24.1177655244,25.4866651144,25.4089752099,23.8783880136
29.2689966055,29.4557129053,29.0792250266,29.151641699,29.3576783645,29.0792250266
23.6601741742,23.0813635313,23.3874159837,24.2866634222,23.388017899,23.6006497603
24.0863194832,24.1692672143,23.0359274546,24.5264680814,23.5973068629,23.7992951075
27.9494972718,28.4550938239,29.2206022311,27.1242847932,27.9253315559,28.7955665588
22.0772080544,24.41957217,23.3930607576,22.0511013422,24.7041745797,24.3644269797
24.0464177498,26.3971575713,24.6651538458,24.1937017685,26.1934162042,24.0358767632
22.9378853333,24.7473918964,25.22371297,22.1854130916,24.7490564982,25.5232266891
24.8566578841,26.505089393,26.0600653917,25.3560503202,26.3938186597,26.13408656
23.1014287166,25.1557597625,25.4991935094,22.0244384423,25.4552566577,25.8973687001
21.9901669087,21.8065105585,22.0622463226,21.5566309904,22.4331728128,21.6897181976
26.1588821656,27.32427152,26.009519846,26.5553068748,27.6042715219,26.2710575935
28.95877777,30.0177527941,30.3063585086,28.9172431261,29.2426706461,30.1380420832
24.221207472,21.9807613568,22.1965077229,24.3560305864,21.8366341224,21.7403262945
29.3224232258,28.8579587203,27.3471023608,29.1986457385,28.7451738211,27.2737765924
26.1161525677,24.7348962197,25.0862453167,26.025187688,24.9058772112,25.1611772195
21.4640243481,24.3460232661,22.3868495012,22.7581653106,23.4171115191,21.5787143952
30.0640342908,30.131406026,29.5634871996,29.9463478235,30.2598327001,29.8852521701
23.9386859551,22.7448796981,22.5669109638,24.1305690423,23.0390492464,22.9298930779
29.5977900089,29.2389096236,29.3539607953,29.7500224236,29.8491030718,29.7545843858
25.257770954,22.0312343744,24.1996864661,24.5990675413,22.0010663791,25.235028218
26.2263563107,25.4281079708,25.4565082697,26.3051397373,25.5202427155,25.6862167212
22.0211196802,21.8350565006,22.1057443374,21.5057591169,22.0554550122,22.1939591383
25.5289418636,27.4425151287,26.2220748021,25.5082434141,27.3325714209,25.9996114388
25.1099212109,24.2598291299,24.2268217527,24.8361354975,24.3479180214,23.9776162857
26.5023322717,24.2644863129,24.6020393616,26.6268847539,24.0452887951,24.855990312
26.0908161799,27.8676709395,26.4527056034,26.1554792844,27.5672036929,26.2140837694
24.265694716,23.2134996072,22.7544252445,23.9587937135,23.0548792374,22.3782934287
25.0982920329,24.6510699101,24.24271899,24.3986316094,24.6865484776,24.347460649
22.5251240363,23.4147982231,24.5869361682,23.1376066452,23.3474714084,23.9151124221
25.6488692944,27.2332614263,27.1101299922,25.4274762472,27.3552713639,27.0970414235
27.4301737516,27.4864018514,26.8367308837,27.8995479192,27.5363297829,26.8979945061
23.0452582041,21.697971344,25.0051019864,22.2390421843,21.8393333875,24.1038666016
22.2501500692,21.9321478575,24.1210004122,22.9335441589,22.0127978692,24.3746187748
23.0438086192,22.5952003919,21.7147367918,22.0059621762,22.0799257816,22.1568680788
25.9568614226,25.0891608214,25.0745983124,25.8351523815,24.895113676,24.8070886563
24.5419150132,27.7232795373,27.079373433,24.4029711699,27.5103802314,27.0339434208
27.0317262992,26.4911674108,27.7395717181,26.7627534377,26.4219895876,27.8294276458
25.3097136815,25.4629444954,25.3105085324,25.4022058096,25.1337338717,25.3946123123
24.7337182363,24.6121543982,25.5413881449,23.4998392692,24.8805401631,25.0314703232
24.3454819948,24.0459093436,23.4674834716,24.6046628463,24.5052699309,24.4626063322
21.539348211,22.9919016667,23.0562367562,22.179245851,22.9834527725,23.3445685949
28.0392416685,28.192561712,27.4748824927,27.7655424949,27.7980139561,27.1981286513
21.9930005196,21.6884130087,21.8261160239,22.8128204346,21.9491538268,21.9313028531
22.103000592,24.0502563868,22.0863927939,22.2335709058,23.1518692848,21.6088574727
24.0025397325,24.2997317681,25.1826024667,24.436715664,24.6345226337,25.5818152061
22.0314820118,28.8149680358,28.2964203174,22.0526921443,28.4122177271,28.2947906347
22.0285799075,21.8836688506,22.3291646762,22.0117457952,22.2365506246,22.054864321
21.7804214526,25.7909586002,23.6329946273,23.1418229861,25.4966677886,23.3038466282
23.7774967291,25.8433446884,24.0063599073,23.5943656335,25.4460166051,23.31779233
23.2716195522,21.9836018147,22.3397961152,22.0370904482,21.7414027483,22.3709808252
24.4386221323,25.0447503603,25.0039069591,24.0818865849,25.3712649957,25.21276787
24.9087846952,24.5012966792,24.0320031337,25.029996823,24.2916692587,24.1586201986
24.0452887951,24.4416884153,22.564680344,24.0309299811,24.6318722016,22.8326084186
28.5801096941,29.6928386688,28.8475102156,28.5235644854,29.384633749,28.8406266677
28.3805346856,27.8897396723,27.7759939585,28.5370633786,28.1044485386,27.8197340109
27.848048797,27.4083325802,27.4173734127,27.8749977992,27.4199809539,27.4849286446
24.59718692,26.039516718,26.2495337022,24.071051891,25.623862022,26.008826916
23.6006497603,23.237246978,23.1848252859,23.7192130456,24.1941825916,23.4751895758
23.1491212111,21.7258212016,23.1966659106,22.0138963797,21.7656700672,23.330018337
21.8508645082,21.9407935265,21.9864250085,22.1101344671,22.0149186452,21.8773289949
25.0842167781,24.1864709854,24.6429771277,25.1841730216,24.3649495932,24.6645835241
27.6946702126,26.8283008673,27.3807436625,27.4835715661,26.4946062626,27.1101299922
27.6537498083,26.9902791488,27.3552713639,27.6396527413,27.0961533815,27.7822290567
23.2253917303,23.2790912481,23.4083490616,23.2672363917,22.98389024,22.7949518302
24.5375892688,24.1370911476,24.1966960614,24.5171986115,23.8123435241,24.1948025532
26.5786442879,26.7703104997,26.8899051471,26.7619123214,26.809043493,26.5860341879
25.4959360025,24.7940398485,24.4575292147,25.3308794804,25.0497983786,24.7940398485
21.9805041827,23.4470085242,21.6407844103,21.9502554429,23.6823895283,22.0438815386
27.1548170432,27.1169560506,26.8020510551,27.1032296939,27.3136084385,26.8274303338
24.7126725026,22.9720191222,22.7129656963,24.3107742652,22.8421662159,22.7581653106
23.2336310362,22.9134682386,23.3314008224,23.8540021945,22.0246505493,22.6829200402
22.3337671818,23.9116727878,24.6070485726,21.2470874786,23.7068870006,24.0648684135
28.4253284259,29.4835817386,28.9516199797,28.3514744441,29.7381530908,28.9194148871
27.0588596051,27.0970414235,27.2930275355,27.1190343514,26.9032000273,26.8643519084
22.1568680788,22.4224264683,22.5794640321,22.7995394438,22.0057652302,22.1859089778
23.8355203042,23.2205903469,23.1579710642,24.3924360764,22.8716833653,23.7017682638
22.9893433253,23.9416185526,23.5259033105,21.326910997,24.0509081376,23.8545536139
26.9543331831,28.1044485386,26.7841189458,26.683012082,28.0051410137,26.5634300281
26.8029830395,26.6294178596,26.6469522134,26.8195992494,26.9927810522,26.5616520124
29.4248373081,28.7593827614,28.8124562777,29.0252858186,28.0602936378,28.7780180711
22.6607335409,22.0528908509,21.9170714892,22.2515182984,22.0187071287,22.0079088945
28.3842562651,28.2089840327,28.6274352196,28.0903489284,28.0187665255,28.4428767424
23.4426753215,23.4530614462,21.8773289949,23.5973068629,23.5362205994,21.8123197556
28.1773883624,27.6000701709,27.1408860378,28.2353214362,27.6826178722,27.3743783266
23.8840398544,22.0893744444,22.2523282124,23.8437193112,21.8568926347,22.0283583617
28.2036140638,27.4541304417,26.8049036173,28.1562014115,27.5013538507,26.7782073877
24.6833491937,27.5869989884,27.7259036822,24.7514125384,27.1671566596,27.1782584313
24.755004516,25.0805946986,25.2152104745,25.0100911703,25.0453051054,25.2051266646
23.8481695224,21.898622415,21.9651120993,23.651875178,22.2384631084,22.138370465
26.3451583569,26.3954081658,26.0981227679,25.8652564073,26.4319982529,26.042625036
22.2394363697,22.489169781,25.5217166558,21.907560104,21.7217285205,25.1471660076
26.5241722205,25.8162289888,25.8727860328,26.8544885929,25.6958980071,26.0995562871
22.0886656199,21.7286873353,22.8636729167,21.9884318572,22.0270811472,22.6284221747
21.9335882969,24.8504230548,24.6452213923,22.1635906757,25.3937843763,24.307802616
25.5711185749,25.2152104745,22.090708537,25.4786309218,24.6630006692,22.0820588332
21.7434894611,24.842714432,24.6002962406,21.8357724899,24.5824385667,24.5338151638
26.774498964,26.5970731637,26.7225426405,26.658933126,26.782182938,26.8458932974
21.9639866902,22.1970800987,22.0613713631,21.5044193757,21.8229155907,21.6340923554
25.1500412623,24.1403699533,24.6418647277,25.0715336188,24.6402443128,24.8276102604
21.9188029216,21.8982778696,22.5008458113,21.8462729332,22.3199492724,23.1331743338
21.9592436032,23.5045058911,22.7615576769,22.6555660932,23.6624755859,23.2422294128
25.6862167212,24.9932280809,24.808907191,25.163319979,24.6983227363,24.324153998
22.0103440896,22.2045454857,21.1642162616,23.2598417233,22.3498834219,22.3825118236
25.1092315821,25.785083893,25.3793329092,25.0320895757,25.5668412967,25.4719042167
21.8887400505,25.3278680704,26.6414216849,22.5218266952,25.8283484532,27.1638026604
28.6827922479,21.7564507998,21.5983476883,29.0856806926,21.5191367956,21.9156007278
29.6928386688,29.2721953514,29.0541321192,29.2659200277,28.7593827614,28.6274352196
21.9866709098,23.7963627546,23.5198425391,21.9872737298,23.4911424686,23.562617253
24.7034902573,22.6409765146,22.3251097997,23.6778146793,22.9427107542,21.8462729332
22.188995019,21.2836923599,21.4462490815,20.755041856,21.9751370503,21.4012661469
27.7350873703,21.9727422519,23.4934342702,27.0415880497,22.1527186418,22.6316822248
26.5801656919,26.8797090726,26.6102855389,26.6469522134,26.8168098254,26.6513436391
21.7776750418,23.7319405874,22.936459199,22.0451386281,23.6431717017,22.7535924911
22.6102380997,24.0032672638,25.1734051338,22.0090576563,25.0805946986,25.8817510849
22.0846184217,24.4088300803,22.2311209654,21.7790879959,24.5795955413,22.048634847
25.1372513893,24.6402443128,24.5978872348,25.0157000957,24.5877362031,24.7964581221
22.7324680426,23.1867816876,23.4626144018,22.1401902712,23.4727984942,22.9244120916
22.3457654317,22.7912762715,22.5149252965,21.8919308491,22.6242672847,22.5115222197
24.1739107523,21.9332822897,22.996452894,24.0704286771,21.8428442784,23.2575266422
21.9304064971,21.9446794559,22.0345691045,21.9310361422,22.0299767959,21.8473071563
27.4890748293,27.3575839752,26.5589547769,28.0587401023,28.4873841848,27.1942332097
